[ 2013-02-27T05:55:38+00:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T05:57:33+00:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.004984s SQL = SHOW COLUMNS FROM ts_home_type
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.001583s SQL = SELECT id,name FROM `ts_home_type` WHERE ( `status` = 1 )
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\house\Lib\Action\HomeAction.class.php on line 8 and defined extend.php 第 2484 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.003574s SQL = SHOW COLUMNS FROM ts_home_region
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.002008s SQL = SELECT * FROM `ts_home_region` WHERE ( `status` = 1 ) ORDER BY id
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.004229s SQL = SHOW COLUMNS FROM ts_home
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: publish HomeAction.class.php 第 90 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homesize HomeAction.class.php 第 93 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: price1 HomeAction.class.php 第 99 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: price2 HomeAction.class.php 第 100 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homeregionid HomeAction.class.php 第 101 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: square1 HomeAction.class.php 第 117 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: square2 HomeAction.class.php 第 118 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: publish HomeAction.class.php 第 133 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homesize HomeAction.class.php 第 134 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: hometypeid HomeAction.class.php 第 135 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homeregionid HomeAction.class.php 第 136 行.
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.001004s SQL = SELECT COUNT(id) AS tp_count FROM `ts_home` WHERE ( 1=1 ) LIMIT 1 
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.003894s SQL = SELECT * FROM `ts_home` WHERE ( 1=1 ) ORDER BY `id` desc LIMIT 0,10 
[ 2013-02-27T13:57:33+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: type 6ef2e9e9bbd218eefe35cdd1e943883c.php 第 63 行.
[ 2013-02-27T05:57:34+00:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T05:57:34+00:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | SQL:  RunTime:0.005384s SQL = SHOW COLUMNS FROM ts_user
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | SQL:  RunTime:0.000964s SQL = SELECT `realname` FROM `ts_user` WHERE ( `id` = '1' ) LIMIT 1 
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 17 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 25 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 34 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 41 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 46 行.
[ 2013-02-27T13:57:34+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 47 行.
[ 2013-02-27T05:57:36+00:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=update | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T05:57:36+00:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=update | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T13:57:36+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=update | SQL:  RunTime:0.005562s SQL = SHOW COLUMNS FROM ts_home_history
[ 2013-02-27T13:57:36+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=update | SQL:  RunTime:0.000705s SQL = INSERT INTO `ts_home_history` (`id`,`homeid`,`remark`,`status`,`createtime`) VALUES ('','','qewr',1,1361944656)
[ 2013-02-27T13:57:36+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=update | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T13:57:36+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=update | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T13:57:36+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=update | NOTIC: [8] Undefined variable: publicCss a604f4aaa14c3de8abe4275a7ae9b903.php 第 7 行.
[ 2013-02-27T05:57:37+00:00 ] /trunk/index.php?app=house&mod=HomeHistory | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T05:57:37+00:00 ] /trunk/index.php?app=house&mod=HomeHistory | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T13:57:37+08:00 ] /trunk/index.php?app=house&mod=HomeHistory | SQL:  RunTime:0.003963s SQL = SHOW COLUMNS FROM ts_home_history
[ 2013-02-27T13:57:37+08:00 ] /trunk/index.php?app=house&mod=HomeHistory | NOTIC: [8] Undefined index: homeid HomeHistoryAction.class.php 第 11 行.
[ 2013-02-27T13:57:37+08:00 ] /trunk/index.php?app=house&mod=HomeHistory | NOTIC: [8] Undefined index: homeid HomeHistoryAction.class.php 第 12 行.
[ 2013-02-27T13:57:37+08:00 ] /trunk/index.php?app=house&mod=HomeHistory | SQL:  RunTime:0.000848s SQL = SELECT COUNT(id) AS tp_count FROM `ts_home_history` WHERE ( `homeid` = null ) LIMIT 1 
[ 2013-02-27T13:57:37+08:00 ] /trunk/index.php?app=house&mod=HomeHistory | NOTIC: [8] Undefined variable: list 6cf5e8e9a533f1d0f2e9e0608f3ece1d.php 第 15 行.
[ 2013-02-27T13:57:37+08:00 ] /trunk/index.php?app=house&mod=HomeHistory | NOTIC: [8] Undefined variable: page 6cf5e8e9a533f1d0f2e9e0608f3ece1d.php 第 20 行.
[ 2013-02-27T05:57:39+00:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T05:57:39+00:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.004519s SQL = SHOW COLUMNS FROM ts_home_type
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.001828s SQL = SELECT id,name FROM `ts_home_type` WHERE ( `status` = 1 )
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\house\Lib\Action\HomeAction.class.php on line 8 and defined extend.php 第 2484 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.003540s SQL = SHOW COLUMNS FROM ts_home_region
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.002590s SQL = SELECT * FROM `ts_home_region` WHERE ( `status` = 1 ) ORDER BY id
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.004774s SQL = SHOW COLUMNS FROM ts_home
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: publish HomeAction.class.php 第 90 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homesize HomeAction.class.php 第 93 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: price1 HomeAction.class.php 第 99 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: price2 HomeAction.class.php 第 100 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homeregionid HomeAction.class.php 第 101 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: square1 HomeAction.class.php 第 117 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: square2 HomeAction.class.php 第 118 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: publish HomeAction.class.php 第 133 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homesize HomeAction.class.php 第 134 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: hometypeid HomeAction.class.php 第 135 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homeregionid HomeAction.class.php 第 136 行.
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.001962s SQL = SELECT COUNT(id) AS tp_count FROM `ts_home` WHERE ( 1=1 ) LIMIT 1 
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.006570s SQL = SELECT * FROM `ts_home` WHERE ( 1=1 ) ORDER BY `id` desc LIMIT 0,10 
[ 2013-02-27T13:57:39+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: type 6ef2e9e9bbd218eefe35cdd1e943883c.php 第 63 行.
[ 2013-02-27T05:57:41+00:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T05:57:41+00:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | SQL:  RunTime:0.004241s SQL = SHOW COLUMNS FROM ts_user
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | SQL:  RunTime:0.001053s SQL = SELECT `realname` FROM `ts_user` WHERE ( `id` = '1' ) LIMIT 1 
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 17 行.
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 25 行.
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 34 行.
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 41 行.
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 46 行.
[ 2013-02-27T13:57:41+08:00 ] /trunk/index.php?app=house&mod=HomeHistory&act=add&homeid=51 | NOTIC: [8] Undefined variable: vo a610b92420cb0b2efb822297169630d9.php 第 47 行.
