[ 2013-02-27T15:15:29+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
[ 2013-02-27T15:15:29+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 20 行.
[ 2013-02-27T15:15:29+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
[ 2013-02-27T15:15:29+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 20 行.
[ 2013-02-27T15:15:29+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
[ 2013-02-27T07:15:41+00:00 ] /trunk/index.php?app=theme&mod=menu&act=edit&id=5 | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T07:15:41+00:00 ] /trunk/index.php?app=theme&mod=menu&act=edit&id=5 | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T15:15:41+08:00 ] /trunk/index.php?app=theme&mod=menu&act=edit&id=5 | SQL:  RunTime:0.004568s SQL = SHOW COLUMNS FROM ts_menu
[ 2013-02-27T15:15:41+08:00 ] /trunk/index.php?app=theme&mod=menu&act=edit&id=5 | SQL:  RunTime:0.001604s SQL = SELECT * FROM `ts_menu` WHERE ( `id` = '5' ) LIMIT 1 
[ 2013-02-27T07:15:44+00:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T07:15:44+00:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [8] Undefined index: id bde6c39192a0c6d2018c4f77ad98b400.php 第 20 行.
[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [8] Undefined index: id bde6c39192a0c6d2018c4f77ad98b400.php 第 20 行.
