[ 2013-04-03T13:38:38+08:00 ] /trunk/index.php?app=Auth&mod=Group&act=index | SQL:  RunTime:0.003903s SQL = SHOW COLUMNS FROM ts_group
[ 2013-04-03T13:38:38+08:00 ] /trunk/index.php?app=Auth&mod=Group&act=index | SQL:  RunTime:0.001822s SQL = SELECT * FROM `ts_group` WHERE ( `status` = 1 ) ORDER BY sort
[ 2013-04-03T13:38:38+08:00 ] /trunk/index.php?app=Auth&mod=Group&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:38+08:00 ] /trunk/index.php?app=Auth&mod=Group&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T05:38:39+00:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T05:38:39+00:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | SQL:  RunTime:0.036324s SQL = SHOW COLUMNS FROM ts_role
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | NOTIC: [8] Undefined index: name RoleAction.class.php 第 5 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | SQL:  RunTime:0.001177s SQL = SELECT COUNT(id) AS tp_count FROM `ts_role` WHERE ( `name` LIKE '%%' ) LIMIT 1 
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | SQL:  RunTime:0.000720s SQL = SELECT * FROM `ts_role` WHERE ( `name` LIKE '%%' ) ORDER BY `id` desc LIMIT 0,10 
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | NOTIC: [8] Undefined variable: content 2ea6850f8b0ed82f786c1c4379e28e12.php 第 27 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Role&act=index | NOTIC: [8] Undefined variable: content 2ea6850f8b0ed82f786c1c4379e28e12.php 第 27 行.
[ 2013-04-03T05:38:39+00:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T05:38:39+00:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\auth\Lib\Action\NodeAction.class.php on line 53 and defined extend.php 第 2484 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | SQL:  RunTime:0.024836s SQL = SHOW COLUMNS FROM ts_node
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | SQL:  RunTime:0.002008s SQL = SELECT * FROM `ts_node` WHERE ( `status` = 1 ) ORDER BY sort
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:38:39+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: roleId 7c1d17be47b0edede31f823b294fe193.php 第 6 行.
[ 2013-04-03T05:39:35+00:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T05:39:35+00:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\auth\Lib\Action\NodeAction.class.php on line 53 and defined extend.php 第 2484 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | SQL:  RunTime:0.004783s SQL = SHOW COLUMNS FROM ts_node
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | SQL:  RunTime:0.001080s SQL = SELECT * FROM `ts_node` WHERE ( `status` = 1 ) ORDER BY sort
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-04-03T13:39:35+08:00 ] /trunk/index.php?app=Auth&mod=Node&act=index | NOTIC: [8] Undefined variable: roleId 7c1d17be47b0edede31f823b294fe193.php 第 7 行.
